NUMBER_OF_POINTS: 196
NUMBER_OF_CONSTRAINTS: 1288
0 1 0.6
0 7 0.8
0 8 1
1 2 0.6
1 8 0.8
1 9 1
2 3 0.6
2 9 0.8
2 10 1
3 4 0.6
3 10 0.8
3 11 1
4 5 0.6
4 11 0.8
4 12 1
5 6 0.6
5 12 0.8
5 13 1
6 13 0.8
7 1 1
7 8 0.6
7 14 0.8
7 15 1
8 2 1
8 9 0.6
8 15 0.8
8 16 1
9 3 1
9 10 0.6
9 16 0.8
9 17 1
10 4 1
10 11 0.6
10 17 0.8
10 18 1
11 5 1
11 12 0.6
11 18 0.8
11 19 1
12 6 1
12 13 0.6
12 19 0.8
12 20 1
13 20 0.8
14 8 1
14 15 0.6
14 21 0.8
14 22 1
15 9 1
15 16 0.6
15 22 0.8
15 23 1
16 10 1
16 17 0.6
16 23 0.8
16 24 1
17 11 1
17 18 0.6
17 24 0.8
17 25 1
18 12 1
18 19 0.6
18 25 0.8
18 26 1
19 13 1
19 20 0.6
19 26 0.8
19 27 1
20 27 0.8
21 15 1
21 22 0.6
21 28 0.8
21 29 1
22 16 1
22 23 0.6
22 29 0.8
22 30 1
23 17 1
23 24 0.6
23 30 0.8
23 31 1
24 18 1
24 25 0.6
24 31 0.8
24 32 1
25 19 1
25 26 0.6
25 32 0.8
25 33 1
26 20 1
26 27 0.6
26 33 0.8
26 34 1
27 34 0.8
28 22 1
28 29 0.6
28 35 0.8
28 36 1
29 23 1
29 30 0.6
29 36 0.8
29 37 1
30 24 1
30 31 0.6
30 37 0.8
30 38 1
31 25 1
31 32 0.6
31 38 0.8
31 39 1
32 26 1
32 33 0.6
32 39 0.8
32 40 1
33 27 1
33 34 0.6
33 40 0.8
33 41 1
34 41 0.8
35 29 1
35 36 0.6
35 42 0.8
35 43 1
36 30 1
36 37 0.6
36 43 0.8
36 44 1
37 31 1
37 38 0.6
37 44 0.8
37 45 1
38 32 1
38 39 0.6
38 45 0.8
38 46 1
39 33 1
39 40 0.6
39 46 0.8
39 47 1
40 34 1
40 41 0.6
40 47 0.8
40 48 1
41 48 0.8
42 36 1
42 43 0.6
42 49 0.8
42 50 1
43 37 1
43 44 0.6
43 50 0.8
43 51 1
44 38 1
44 45 0.6
44 51 0.8
44 52 1
45 39 1
45 46 0.6
45 52 0.8
45 53 1
46 40 1
46 47 0.6
46 53 0.8
46 54 1
47 41 1
47 48 0.6
47 54 0.8
47 55 1
48 55 0.8
49 43 1
49 50 0.6
49 56 0.8
49 57 1
50 44 1
50 51 0.6
50 57 0.8
50 58 1
51 45 1
51 52 0.6
51 58 0.8
51 59 1
52 46 1
52 53 0.6
52 59 0.8
52 60 1
53 47 1
53 54 0.6
53 60 0.8
53 61 1
54 48 1
54 55 0.6
54 61 0.8
54 62 1
55 62 0.8
56 50 1
56 57 0.6
56 63 0.8
56 64 1
57 51 1
57 58 0.6
57 64 0.8
57 65 1
58 52 1
58 59 0.6
58 65 0.8
58 66 1
59 53 1
59 60 0.6
59 66 0.8
59 67 1
60 54 1
60 61 0.6
60 67 0.8
60 68 1
61 55 1
61 62 0.6
61 68 0.8
61 69 1
62 69 0.8
63 57 1
63 64 0.6
63 70 0.8
63 71 1
64 58 1
64 65 0.6
64 71 0.8
64 72 1
65 59 1
65 66 0.6
65 72 0.8
65 73 1
66 60 1
66 67 0.6
66 73 0.8
66 74 1
67 61 1
67 68 0.6
67 74 0.8
67 75 1
68 62 1
68 69 0.6
68 75 0.8
68 76 1
69 76 0.8
70 64 1
70 71 0.6
70 77 0.8
70 78 1
71 65 1
71 72 0.6
71 78 0.8
71 79 1
72 66 1
72 73 0.6
72 79 0.8
72 80 1
73 67 1
73 74 0.6
73 80 0.8
73 81 1
74 68 1
74 75 0.6
74 81 0.8
74 82 1
75 69 1
75 76 0.6
75 82 0.8
75 83 1
76 83 0.8
77 71 1
77 78 0.6
77 84 0.8
77 85 1
78 72 1
78 79 0.6
78 85 0.8
78 86 1
79 73 1
79 80 0.6
79 86 0.8
79 87 1
80 74 1
80 81 0.6
80 87 0.8
80 88 1
81 75 1
81 82 0.6
81 88 0.8
81 89 1
82 76 1
82 83 0.6
82 89 0.8
82 90 1
83 90 0.8
84 78 1
84 85 0.6
84 91 0.8
84 92 1
85 79 1
85 86 0.6
85 92 0.8
85 93 1
86 80 1
86 87 0.6
86 93 0.8
86 94 1
87 81 1
87 88 0.6
87 94 0.8
87 95 1
88 82 1
88 89 0.6
88 95 0.8
88 96 1
89 83 1
89 90 0.6
89 96 0.8
89 97 1
90 97 0.8
91 85 1
91 92 0.6
91 98 0.8
91 99 1
92 86 1
92 93 0.6
92 99 0.8
92 100 1
93 87 1
93 94 0.6
93 100 0.8
93 101 1
94 88 1
94 95 0.6
94 101 0.8
94 102 1
95 89 1
95 96 0.6
95 102 0.8
95 103 1
96 90 1
96 97 0.6
96 103 0.8
96 104 1
97 104 0.8
98 92 1
98 99 0.6
98 105 0.8
98 106 1
99 93 1
99 100 0.6
99 106 0.8
99 107 1
100 94 1
100 101 0.6
100 107 0.8
100 108 1
101 95 1
101 102 0.6
101 108 0.8
101 109 1
102 96 1
102 103 0.6
102 109 0.8
102 110 1
103 97 1
103 104 0.6
103 110 0.8
103 111 1
104 111 0.8
105 99 1
105 106 0.6
105 112 0.8
105 113 1
106 100 1
106 107 0.6
106 113 0.8
106 114 1
107 101 1
107 108 0.6
107 114 0.8
107 115 1
108 102 1
108 109 0.6
108 115 0.8
108 116 1
109 103 1
109 110 0.6
109 116 0.8
109 117 1
110 104 1
110 111 0.6
110 117 0.8
110 118 1
111 118 0.8
112 106 1
112 113 0.6
112 119 0.8
112 120 1
113 107 1
113 114 0.6
113 120 0.8
113 121 1
114 108 1
114 115 0.6
114 121 0.8
114 122 1
115 109 1
115 116 0.6
115 122 0.8
115 123 1
116 110 1
116 117 0.6
116 123 0.8
116 124 1
117 111 1
117 118 0.6
117 124 0.8
117 125 1
118 125 0.8
119 113 1
119 120 0.6
119 126 0.8
119 127 1
120 114 1
120 121 0.6
120 127 0.8
120 128 1
121 115 1
121 122 0.6
121 128 0.8
121 129 1
122 116 1
122 123 0.6
122 129 0.8
122 130 1
123 117 1
123 124 0.6
123 130 0.8
123 131 1
124 118 1
124 125 0.6
124 131 0.8
124 132 1
125 132 0.8
126 120 1
126 127 0.6
126 133 0.8
126 134 1
127 121 1
127 128 0.6
127 134 0.8
127 135 1
128 122 1
128 129 0.6
128 135 0.8
128 136 1
129 123 1
129 130 0.6
129 136 0.8
129 137 1
130 124 1
130 131 0.6
130 137 0.8
130 138 1
131 125 1
131 132 0.6
131 138 0.8
131 139 1
132 139 0.8
133 127 1
133 134 0.6
133 140 0.8
133 141 1
134 128 1
134 135 0.6
134 141 0.8
134 142 1
135 129 1
135 136 0.6
135 142 0.8
135 143 1
136 130 1
136 137 0.6
136 143 0.8
136 144 1
